,word,definition,frequency
391,ἐνέπω,"
		tell
    	",1
392,ἐνέπω2,"
		say, tell
    	",1
393,ἐφίημι,"
		send to
    	",1
394,ἀπό,"
		ápa,
    	",1
395,Τροίαθεν,"
		from Troy
    	",2
396,Ἰλιόθεν,"
		from Troy
    	",1
397,Φεραί,"
		Pherae
    	",2
398,φέρω,"
		fero,
    	",1
399,ἄνεμος,"
		wind,
    	",2
400,Κίκονες,"
		Ciconians
    	",2
401,πελάζω,"
		approach, draw near
    	",1
402,Ἴσμαρος,"
[definition unavailable]
",1
403,ἔνθα,"
		there,
    	",4
404,πόλις,"
		city,
    	",1
405,πέρθω,"
		waste, ravage, sack
    	",1
406,ὄλλυμι,"
		destroy, make an end of,
    	",1
407,πολιός,"
		grey, grizzled, grisly,
    	",1
408,ἄλοχος,"
		partner of one's bed, wife,
    	",1
409,κτῆμα,"
		anything gotten, piece of property, possession
    	",1
410,λαμβάνω,"
		a
    	",1
411,δατέομαι,"
		divide among themselves,
    	",2
412,ἁμοῦ,"
		somewhere,
    	",2
413,ἐμέω,"
		vomit, throw up
    	",1
414,μάομαι,"
[definition unavailable]
",2
415,μή,"
		mā´
    	",2
416,μή2,"
[definition unavailable]
",2
417,μή3,"
		lest perchance
    	",2
418,μής,"
[definition unavailable]
",2
419,ἀτέμβω,"
		maltreat,
    	",2
420,κίω,"
		go
    	",1
421,ἴσος,"
		equal
    	",1
422,ἰσάζω,"
		make equal, balance
    	",1
423,ἔρχομαι,"
		ibo
    	",1
424,διεράω,"
		strain through,
    	",1
425,διερέω,"
		wet, moisten,
    	",1
426,διερός,"
		active, alive,
    	",1
427,διερῶ,"
		say fully, distinctly, expressly,
    	",1
428,ποδίς,"
		shoe.
    	",1
429,ἄνωγα,"
		command, order,
    	",1
430,Μέγης,"
[definition unavailable]
",1
431,μέγας,"
		big
    	",1
432,νήπιος,"
		infant, child,
    	",1
433,πίνω,"
		Aër.
    	",1
434,μήλη,"
		probe
    	",5
435,μῆλον,"
		sheep
    	",5
436,σφάζω,"
		slay, slaughter
    	",1
437,θίς,"
		heap
    	",1
438,εἰλίπους,"
		rolling in their gait
    	",1
439,εἰλιπόδης,"
[definition unavailable]
",1
440,ἕλιξ,"
		twisted, curved
    	",1
441,ἕλιξ2,"
		anything which assumes a spiral shape
    	",1
442,ἑλίκη,"
		winding
    	",1
